,WIN$N_open,WIN$N_close,WIN$N_high,WIN$N_low,WIN$N_tick_volume,WIN$N_real_volume,WIN$N_spread
636775,102075.0,102065.0,102085.0,102050.0,757,2624,5
636776,102060.0,102090.0,102090.0,102060.0,1383,4420,5
636777,102085.0,102160.0,102160.0,102075.0,4291,13498,5
636778,102160.0,102160.0,102180.0,102135.0,3095,10432,5
636779,102155.0,102175.0,102175.0,102145.0,1433,5171,5
636780,102175.0,102150.0,102175.0,102145.0,1342,5472,5
636781,102145.0,102145.0,102200.0,102130.0,4393,13532,5
636782,102145.0,102140.0,102165.0,102125.0,1599,6314,5
636783,102135.0,102135.0,102170.0,102125.0,1703,6485,5
636784,102130.0,102160.0,102160.0,102125.0,852,2941,5
636785,102160.0,102170.0,102180.0,102145.0,1245,4307,5
636786,102170.0,102160.0,102190.0,102150.0,1644,6052,5
636787,102160.0,102150.0,102165.0,102130.0,1215,3910,5
636788,102150.0,102175.0,102180.0,102140.0,1061,3585,5
636789,102180.0,102220.0,102225.0,102180.0,4647,14351,5
636790,102225.0,102240.0,102245.0,102220.0,3455,11589,5
636791,102245.0,102245.0,102250.0,102230.0,2170,7931,5
636792,102245.0,102210.0,102250.0,102205.0,2414,8621,5
636793,102210.0,102230.0,102240.0,102210.0,1116,3604,5
636794,102235.0,102225.0,102245.0,102220.0,909,3282,5
636795,102225.0,102220.0,102225.0,102205.0,1135,3792,5
636796,102215.0,102190.0,102220.0,102165.0,4118,12024,5
636797,102190.0,102180.0,102195.0,102180.0,753,2595,5
636798,102180.0,102185.0,102210.0,102180.0,1431,4639,5
636799,102180.0,102155.0,102190.0,102150.0,1886,5895,5
636800,102160.0,102150.0,102175.0,102140.0,2221,6754,5
636801,102150.0,102115.0,102165.0,102100.0,4312,12644,5
636802,102115.0,102125.0,102130.0,102105.0,2148,7053,5
636803,102125.0,102110.0,102145.0,102100.0,2642,8484,5
636804,102110.0,102160.0,102185.0,102105.0,4424,14661,5
636805,102155.0,102130.0,102165.0,102125.0,2012,7835,5
636806,102130.0,102145.0,102150.0,102110.0,1978,6896,5
636807,102140.0,102180.0,102180.0,102135.0,2415,8154,5
636808,102180.0,102145.0,102210.0,102145.0,4769,14228,5
636809,102145.0,102140.0,102155.0,102135.0,1124,3660,5
636810,102135.0,102135.0,102150.0,102115.0,1612,5168,5
636811,102140.0,102195.0,102195.0,102135.0,2449,7817,5
636812,102195.0,102160.0,102205.0,102160.0,2608,9447,5
636813,102165.0,102175.0,102185.0,102160.0,915,3687,5
636814,102170.0,102175.0,102185.0,102160.0,1325,5270,5
636815,102175.0,102175.0,102190.0,102175.0,753,2825,5
636816,102180.0,102190.0,102200.0,102160.0,1368,4643,5
636817,102190.0,102210.0,102235.0,102180.0,4225,13438,5
636818,102210.0,102165.0,102215.0,102160.0,2738,8659,5
636819,102165.0,102155.0,102175.0,102140.0,2523,8746,5
636820,102160.0,102120.0,102165.0,102115.0,2933,8704,5
636821,102120.0,102120.0,102145.0,102060.0,8794,25456,5
636822,102115.0,102100.0,102135.0,102095.0,1806,5578,5
636823,102100.0,102090.0,102105.0,102080.0,1941,5919,5
636824,102090.0,102095.0,102105.0,102075.0,1867,5993,5
636825,102095.0,102130.0,102145.0,102080.0,3346,11638,5
636826,102130.0,102135.0,102170.0,102110.0,4313,15718,5
636827,102130.0,102165.0,102170.0,102125.0,2808,11096,5
636828,102160.0,102165.0,102190.0,102155.0,3195,11359,5
636829,102170.0,102150.0,102180.0,102135.0,2146,8008,5
636830,102150.0,102155.0,102165.0,102100.0,3742,12675,5
636831,102155.0,102180.0,102210.0,102140.0,5126,18160,5
636832,102180.0,102270.0,102300.0,102170.0,12119,43849,5
636833,102270.0,102280.0,102310.0,102260.0,6318,21343,5
636834,102280.0,102240.0,102290.0,102225.0,3902,12460,5
636835,102245.0,102265.0,102270.0,102165.0,7620,25061,5
636836,102265.0,102275.0,102335.0,102235.0,9472,30546,5
636837,102280.0,102255.0,102295.0,102250.0,2514,8636,5
636838,102255.0,102275.0,102290.0,102250.0,1804,6582,5
636839,102275.0,102200.0,102290.0,102165.0,5661,17236,5
636840,102195.0,102150.0,102220.0,102145.0,6304,21335,5
636841,102155.0,102145.0,102180.0,102055.0,14986,51204,5
636842,102150.0,102180.0,102200.0,102135.0,3627,11403,5
636843,102175.0,102225.0,102235.0,102160.0,4571,16352,5
636844,102230.0,102250.0,102280.0,102220.0,5755,19279,5
636845,102245.0,102280.0,102315.0,102240.0,4296,16317,5
636846,102275.0,102250.0,102300.0,102250.0,4099,14745,5
636847,102250.0,102215.0,102270.0,102210.0,4250,13774,5
636848,102215.0,102230.0,102235.0,102200.0,2098,8586,5
636849,102230.0,102185.0,102250.0,102180.0,3556,12037,5
636850,102185.0,102220.0,102220.0,102165.0,3226,11051,5
636851,102215.0,102280.0,102290.0,102215.0,5383,18150,5
636852,102285.0,102280.0,102320.0,102270.0,3959,14597,5
636853,102280.0,102350.0,102370.0,102280.0,8359,28744,5
636854,102350.0,102285.0,102395.0,102285.0,7614,24574,5
636855,102285.0,102200.0,102310.0,102195.0,6396,22322,5
636856,102200.0,102190.0,102285.0,102135.0,13636,46067,5
636857,102195.0,102185.0,102260.0,102160.0,5838,22355,5
636858,102185.0,102235.0,102270.0,102150.0,5152,17751,5
636859,102240.0,102265.0,102310.0,102235.0,6083,22786,5
636860,102265.0,102260.0,102280.0,102195.0,6003,21349,5
636861,102260.0,102265.0,102325.0,102195.0,7483,26475,5
636862,102260.0,102180.0,102310.0,102175.0,5862,22893,5
636863,102185.0,102160.0,102195.0,102110.0,9741,34663,5
636864,102160.0,102170.0,102190.0,102130.0,3062,10994,5
636865,102170.0,102245.0,102250.0,102165.0,5517,19539,5
636866,102250.0,102270.0,102270.0,102215.0,3975,14868,5
636867,102270.0,102265.0,102290.0,102235.0,3436,12871,5
636868,102265.0,102220.0,102275.0,102190.0,4706,20554,5
636869,102220.0,102175.0,102235.0,102130.0,6470,23784,5
636870,102170.0,102155.0,102190.0,102135.0,3482,13536,5
636871,102150.0,101980.0,102170.0,101945.0,20785,77051,5
636872,101975.0,102010.0,102055.0,101965.0,6810,22476,5
636873,102010.0,102020.0,102035.0,101975.0,5215,20655,5
636874,102015.0,102045.0,102100.0,102010.0,6862,23667,5
636875,102050.0,102095.0,102110.0,102050.0,4437,14883,5
636876,102090.0,102185.0,102225.0,102080.0,10895,35407,5
636877,102180.0,102255.0,102265.0,102175.0,6782,26554,5
636878,102250.0,102340.0,102415.0,102250.0,14644,59950,5
636879,102340.0,102325.0,102370.0,102280.0,6389,24530,5
636880,102330.0,102315.0,102375.0,102290.0,5365,20121,5
636881,102315.0,102365.0,102395.0,102300.0,5696,19929,5
636882,102365.0,102380.0,102415.0,102330.0,6010,22071,5
636883,102380.0,102380.0,102430.0,102360.0,5207,19261,5
636884,102380.0,102340.0,102410.0,102305.0,5246,19316,5
636885,102340.0,102205.0,102340.0,102180.0,11058,38729,5
636886,102205.0,102220.0,102225.0,102145.0,8655,29909,5
636887,102225.0,102200.0,102265.0,102170.0,5229,19811,5
636888,102200.0,102200.0,102240.0,102185.0,2648,9762,5
636889,102195.0,102200.0,102220.0,102165.0,2934,10553,5
636890,102195.0,102245.0,102275.0,102190.0,4566,15217,5
636891,102245.0,102320.0,102325.0,102245.0,6476,21426,5
636892,102320.0,102360.0,102415.0,102310.0,9020,30051,5
636893,102360.0,102355.0,102385.0,102335.0,2842,10235,5
636894,102360.0,102335.0,102370.0,102310.0,3727,16081,5
636895,102335.0,102425.0,102440.0,102320.0,6846,25576,5
636896,102420.0,102435.0,102450.0,102365.0,7693,27310,5
636897,102435.0,102465.0,102515.0,102430.0,9002,29918,5
636898,102465.0,102455.0,102500.0,102440.0,3647,12819,5
636899,102450.0,102475.0,102490.0,102450.0,1874,6475,5
636900,102475.0,102465.0,102495.0,102440.0,2482,9330,5
636901,102465.0,102495.0,102550.0,102455.0,8439,27118,5
636902,102495.0,102425.0,102495.0,102410.0,7349,26190,5
636903,102430.0,102415.0,102445.0,102405.0,2796,11102,5
